collected_at,station,market_date,model,timezone,forecast_target,temperature_max_c,temperature_min_c,forecast_url
2026-09-10T20:14:24.424823+00:00,FACT,2026-09-11,ecmwf,Africa/Johannesburg,2026-09-11,19.6,15.1,https://api.open-meteo.com/v1/ecmwf?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:24.424828+00:00,FACT,2026-09-12,ecmwf,Africa/Johannesburg,2026-09-12,20.6,15.6,https://api.open-meteo.com/v1/ecmwf?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:25.173367+00:00,FACT,2026-09-10,gfs,Africa/Johannesburg,2026-09-10,19.8,14.3,https://api.open-meteo.com/v1/gfs?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:25.173387+00:00,FACT,2026-09-11,gfs,Africa/Johannesburg,2026-09-11,22.2,14.2,https://api.open-meteo.com/v1/gfs?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:25.173391+00:00,FACT,2026-09-12,gfs,Africa/Johannesburg,2026-09-12,22.0,14.7,https://api.open-meteo.com/v1/gfs?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:25.923401+00:00,KATL,2026-09-10,open_meteo_best_match,America/New_York,2026-09-10,32.4,22.5,https://api.open-meteo.com/v1/forecast?latitude=33.62972&longitude=-84.44223&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:25.923418+00:00,KATL,2026-09-11,open_meteo_best_match,America/New_York,2026-09-11,30.6,23.1,https://api.open-meteo.com/v1/forecast?latitude=33.62972&longitude=-84.44223&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:25.923422+00:00,KATL,2026-09-12,open_meteo_best_match,America/New_York,2026-09-12,30.4,22.9,https://api.open-meteo.com/v1/forecast?latitude=33.62972&longitude=-84.44223&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:15:57.964077+00:00,KAUS,2026-09-10,ecmwf,America/Chicago,2026-09-10,36.7,24.7,https://api.open-meteo.com/v1/ecmwf?latitude=30.1831&longitude=-97.68063&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:15:57.964094+00:00,KAUS,2026-09-11,ecmwf,America/Chicago,2026-09-11,36.2,24.6,https://api.open-meteo.com/v1/ecmwf?latitude=30.1831&longitude=-97.68063&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:15:57.964097+00:00,KAUS,2026-09-12,ecmwf,America/Chicago,2026-09-12,37.8,25.8,https://api.open-meteo.com/v1/ecmwf?latitude=30.1831&longitude=-97.68063&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:29.110456+00:00,KBKF,2026-09-10,open_meteo_best_match,America/Denver,2026-09-10,30.5,11.7,https://api.open-meteo.com/v1/forecast?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:29.110472+00:00,KBKF,2026-09-11,open_meteo_best_match,America/Denver,2026-09-11,31.5,15.4,https://api.open-meteo.com/v1/forecast?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:29.110476+00:00,KBKF,2026-09-12,open_meteo_best_match,America/Denver,2026-09-12,27.1,16.2,https://api.open-meteo.com/v1/forecast?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:29.859018+00:00,KBKF,2026-09-10,ecmwf,America/Denver,2026-09-10,30.8,13.3,https://api.open-meteo.com/v1/ecmwf?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:29.859037+00:00,KBKF,2026-09-11,ecmwf,America/Denver,2026-09-11,32.2,16.3,https://api.open-meteo.com/v1/ecmwf?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:29.859040+00:00,KBKF,2026-09-12,ecmwf,America/Denver,2026-09-12,28.2,15.9,https://api.open-meteo.com/v1/ecmwf?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:30.607590+00:00,KBKF,2026-09-10,gfs,America/Denver,2026-09-10,30.5,11.7,https://api.open-meteo.com/v1/gfs?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:30.607607+00:00,KBKF,2026-09-11,gfs,America/Denver,2026-09-11,31.5,15.4,https://api.open-meteo.com/v1/gfs?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:30.607611+00:00,KBKF,2026-09-12,gfs,America/Denver,2026-09-12,27.1,16.2,https://api.open-meteo.com/v1/gfs?latitude=39.713&longitude=-104.758&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:31.360519+00:00,KDAL,2026-09-10,open_meteo_best_match,America/Chicago,2026-09-10,35.8,24.8,https://api.open-meteo.com/v1/forecast?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:31.360535+00:00,KDAL,2026-09-11,open_meteo_best_match,America/Chicago,2026-09-11,36.9,25.1,https://api.open-meteo.com/v1/forecast?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:31.360538+00:00,KDAL,2026-09-12,open_meteo_best_match,America/Chicago,2026-09-12,38.9,25.0,https://api.open-meteo.com/v1/forecast?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:32.128569+00:00,KDAL,2026-09-10,ecmwf,America/Chicago,2026-09-10,36.5,25.7,https://api.open-meteo.com/v1/ecmwf?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:32.128590+00:00,KDAL,2026-09-11,ecmwf,America/Chicago,2026-09-11,36.9,26.4,https://api.open-meteo.com/v1/ecmwf?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:32.128595+00:00,KDAL,2026-09-12,ecmwf,America/Chicago,2026-09-12,38.8,27.6,https://api.open-meteo.com/v1/ecmwf?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:32.880309+00:00,KDAL,2026-09-10,gfs,America/Chicago,2026-09-10,35.8,24.8,https://api.open-meteo.com/v1/gfs?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
