collected_at,station,observation_time,temperature_c,dewpoint_c,wind_speed_kt,raw_text,source
2026-09-10T21:49:05.351241+00:00,RJTT,2026-09-10T21:30:00.000Z,19.0,18.0,10.0,METAR RJTT 102130Z 36010KT 4500 RA BR FEW004 BKN015 19/18 Q1019 TEMPO 3000 SHRA BR FEW003 BKN005,AviationWeather.gov METAR
2026-09-10T21:49:05.351244+00:00,RKPK,2026-09-10T21:00:00.000Z,19.0,15.0,3.0,METAR RKPK 102100Z 31003KT CAVOK 19/15 Q1019,AviationWeather.gov METAR
2026-09-10T21:49:05.351247+00:00,RKSI,2026-09-10T21:30:00.000Z,16.0,15.0,6.0,METAR RKSI 102130Z 05006KT CAVOK 16/15 Q1021 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351250+00:00,RPLL,2026-09-10T21:00:00.000Z,25.0,25.0,2.0,METAR RPLL 102100Z VRB02KT 9999 FEW025 BKN130 25/25 Q1011 NOSIG RMK A2985,AviationWeather.gov METAR
2026-09-10T21:49:05.351254+00:00,SAEZ,2026-09-10T21:00:00.000Z,19.0,6.0,10.0,METAR SAEZ 102100Z 06010KT CAVOK 19/06 Q1012 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351257+00:00,SBGR,2026-09-10T21:00:00.000Z,17.0,16.0,4.0,METAR SBGR 102100Z 04004KT 5000 -RA BR NSC 17/16 Q1018,AviationWeather.gov METAR
2026-09-10T21:49:05.351260+00:00,VILK,2026-09-10T21:30:00.000Z,27.0,27.0,0.0,METAR VILK 102130Z 00000KT 4000 BR SCT020 BKN100 27/27 Q1006 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351264+00:00,WMKK,2026-09-10T21:30:00.000Z,25.0,25.0,2.0,METAR WMKK 102130Z VRB02KT 5000 TSRA FEW006 FEW017CB SCT030 25/25 Q1009 TEMPO 3000 TSRA,AviationWeather.gov METAR
2026-09-10T21:49:05.351267+00:00,WSSS,2026-09-10T21:30:00.000Z,28.0,25.0,6.0,METAR WSSS 102130Z 10006KT 8000 SCT016 BKN300 28/25 Q1009 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351271+00:00,ZBAA,2026-09-10T21:30:00.000Z,13.0,11.0,6.0,METAR ZBAA 102130Z 35003MPS CAVOK 13/11 Q1021 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351274+00:00,ZGGG,2026-09-10T21:30:00.000Z,25.0,18.0,14.0,METAR ZGGG 102130Z 01007MPS CAVOK 25/18 Q1016 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351277+00:00,ZGSZ,2026-09-10T21:00:00.000Z,26.0,20.0,10.0,METAR ZGSZ 102100Z 03005MPS CAVOK 26/20 Q1014 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351280+00:00,ZHCC,2026-09-10T21:00:00.000Z,18.0,16.0,2.0,METAR ZHCC 102100Z 28001MPS CAVOK 18/16 Q1024 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351284+00:00,ZHHH,2026-09-10T21:00:00.000Z,18.0,11.0,2.0,METAR ZHHH 102100Z VRB01MPS CAVOK 18/11 Q1021 NOSIG,AviationWeather.gov METAR
