trade_id,opened_at,market_id,event_key,city,station,market_date,market_type,bucket_type,bucket_value,bucket_low,bucket_high,entry_price,shares,stake,model_probability,gross_edge,net_ev_per_share,fee_rate,fee_per_share,signal,status,resolved_at,result,payout,pnl,roi,resolution_source,resolution_note
paper-000021,2026-09-11T16:03:48.671246+00:00,4430455,shanghai|2026_09_12|lowest_temperature|c|zspd,Shanghai,ZSPD,2026-09-12,lowest_temperature,exact,23.0,23.0,23.0,0.15,66.66666666666667,10.0,0.321565,0.171565,0.16519,0.05,0.006375,PAPER_BUY,OPEN,,,,,,,
paper-000022,2026-09-11T16:03:48.693353+00:00,4461914,helsinki|2026_09_13|highest_temperature|c|efhk,Helsinki,EFHK,2026-09-13,highest_temperature,exact,19.0,19.0,19.0,0.04,250.0,10.0,0.202537,0.162537,0.160617,0.05,0.00192,PAPER_BUY,OPEN,,,,,,,
paper-000023,2026-09-11T16:03:48.670177+00:00,4430390,wellington|2026_09_12|lowest_temperature|c|nzwn,Wellington,NZWN,2026-09-12,lowest_temperature,exact,10.0,10.0,10.0,0.12,83.33333333333334,10.0,0.284441,0.164441,0.159161,0.05,0.00528,PAPER_BUY,OPEN,,,,,,,
paper-000024,2026-09-11T16:03:48.692134+00:00,4461782,warsaw|2026_09_13|highest_temperature|c|epwa,Warsaw,EPWA,2026-09-13,highest_temperature,exact,19.0,19.0,19.0,0.18,55.55555555555556,10.0,0.342243,0.162243,0.154863,0.05,0.00738,PAPER_BUY,OPEN,,,,,,,
paper-000025,2026-09-11T16:03:48.676236+00:00,4431240,lucknow|2026_09_12|highest_temperature|c|vilk,Lucknow,VILK,2026-09-12,highest_temperature,exact,31.0,31.0,31.0,0.03,333.33333333333337,10.0,0.185259,0.155259,0.153804,0.05,0.001455,PAPER_BUY,OPEN,,,,,,,
paper-000026,2026-09-11T16:03:48.679286+00:00,4431473,helsinki|2026_09_12|highest_temperature|c|efhk,Helsinki,EFHK,2026-09-12,highest_temperature,exact,18.0,18.0,18.0,0.04,250.0,10.0,0.193613,0.153613,0.151693,0.05,0.00192,PAPER_BUY,OPEN,,,,,,,
paper-000027,2026-09-11T16:03:48.676485+00:00,4431251,munich|2026_09_12|highest_temperature|c|eddm,Munich,EDDM,2026-09-12,highest_temperature,exact,24.0,24.0,24.0,0.07,142.85714285714283,10.0,0.223352,0.153352,0.150097,0.05,0.003255,PAPER_BUY,OPEN,,,,,,,
paper-000028,2026-09-11T16:03:48.690620+00:00,4461694,munich|2026_09_13|highest_temperature|c|eddm,Munich,EDDM,2026-09-13,highest_temperature,exact,26.0,26.0,26.0,0.03,333.33333333333337,10.0,0.181486,0.151486,0.150031,0.05,0.001455,PAPER_BUY,OPEN,,,,,,,
paper-000029,2026-09-11T16:03:48.689870+00:00,4461663,ankara|2026_09_13|highest_temperature|c|ltac,Ankara,LTAC,2026-09-13,highest_temperature,exact,34.0,34.0,34.0,0.04,250.0,10.0,0.188271,0.148271,0.146351,0.05,0.00192,PAPER_BUY,OPEN,,,,,,,
paper-000030,2026-09-11T16:03:48.676008+00:00,4431231,wellington|2026_09_12|highest_temperature|c|nzwn,Wellington,NZWN,2026-09-12,highest_temperature,exact,15.0,15.0,15.0,0.07,142.85714285714283,10.0,0.212738,0.142738,0.139483,0.05,0.003255,PAPER_BUY,OPEN,,,,,,,
paper-000031,2026-09-11T16:03:48.663486+00:00,4400096,milan|2026_09_11|highest_temperature|c|limc,Milan,LIMC,2026-09-11,highest_temperature,exact,27.0,27.0,27.0,0.005,2000.0,10.0,0.14417,0.13917,0.138921,0.05,0.00024875,PAPER_BUY,OPEN,,,,,,,
paper-000032,2026-09-11T16:03:48.677008+00:00,4431295,shanghai|2026_09_12|highest_temperature|c|zspd,Shanghai,ZSPD,2026-09-12,highest_temperature,exact,30.0,30.0,30.0,0.15,66.66666666666667,10.0,0.293909,0.143909,0.137534,0.05,0.006375,PAPER_BUY,OPEN,,,,,,,
paper-000033,2026-09-11T16:03:48.677018+00:00,4431296,shanghai|2026_09_12|highest_temperature|c|zspd,Shanghai,ZSPD,2026-09-12,highest_temperature,exact,31.0,31.0,31.0,0.03,333.33333333333337,10.0,0.164822,0.134822,0.133367,0.05,0.001455,PAPER_BUY,OPEN,,,,,,,
