POLYMARKET WEATHER CALIBRATION BOOTSTRAP V1.1
NO TRADING

UTC: 2026-09-11T14:26:41.952535+00:00

Stations: 45
Models: 1
History days: 90
Forecast rows: 28350
Ground truth rows: 4050
Matched rows: 28350
Calibration groups: 315

Ground truth source: Open-Meteo ERA5 reanalysis.
This is historical verification data, not literal METAR observations.

CALIBRATION GROUPS

KLGA | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.434C | min_rmse=1.540C | max_bias=-0.818C | max_rmse=2.587C
KLGA | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.756C | min_rmse=1.743C | max_bias=-0.378C | max_rmse=2.837C
KLGA | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.744C | min_rmse=2.043C | max_bias=-0.376C | max_rmse=3.462C
KMIA | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.836C | min_rmse=1.446C | max_bias=1.220C | max_rmse=1.489C
KMIA | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.748C | min_rmse=1.469C | max_bias=1.391C | max_rmse=1.779C
KMIA | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.927C | min_rmse=1.490C | max_bias=1.293C | max_rmse=1.659C
KMIA | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.840C | min_rmse=1.542C | max_bias=1.311C | max_rmse=1.788C
KMIA | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.727C | min_rmse=1.549C | max_bias=1.277C | max_rmse=1.811C
KMIA | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.984C | min_rmse=1.577C | max_bias=1.571C | max_rmse=2.106C
KMIA | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-1.083C | min_rmse=1.719C | max_bias=1.489C | max_rmse=2.127C
KORD | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.443C | min_rmse=0.875C | max_bias=-0.003C | max_rmse=1.587C
KORD | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.490C | min_rmse=1.102C | max_bias=-0.252C | max_rmse=1.662C
KORD | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.754C | min_rmse=1.420C | max_bias=-0.283C | max_rmse=1.962C
KORD | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.694C | min_rmse=1.490C | max_bias=-0.604C | max_rmse=2.272C
KORD | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.727C | min_rmse=1.746C | max_bias=-0.658C | max_rmse=2.325C
KORD | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-1.132C | min_rmse=2.225C | max_bias=-0.853C | max_rmse=2.920C
KORD | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-1.102C | min_rmse=2.397C | max_bias=-1.048C | max_rmse=3.184C
KSEA | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.498C | min_rmse=0.828C | max_bias=1.033C | max_rmse=1.418C
KSEA | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.527C | min_rmse=0.953C | max_bias=1.039C | max_rmse=1.658C
KSEA | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.504C | min_rmse=0.987C | max_bias=1.109C | max_rmse=1.816C
KSEA | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.473C | min_rmse=1.221C | max_bias=0.950C | max_rmse=1.736C
KSEA | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.477C | min_rmse=1.194C | max_bias=1.024C | max_rmse=2.053C
KSEA | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.280C | min_rmse=1.134C | max_bias=1.140C | max_rmse=2.410C
KSEA | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.351C | min_rmse=1.465C | max_bias=0.849C | max_rmse=3.171C
KSFO | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.488C | min_rmse=0.861C | max_bias=-2.074C | max_rmse=2.648C
KSFO | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.518C | min_rmse=0.912C | max_bias=-2.194C | max_rmse=2.800C
KSFO | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.440C | min_rmse=0.825C | max_bias=-2.122C | max_rmse=2.894C
KSFO | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.430C | min_rmse=0.886C | max_bias=-2.056C | max_rmse=3.024C
KSFO | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.256C | min_rmse=0.866C | max_bias=-1.853C | max_rmse=3.244C
KSFO | ecmwf_ifs025 | lead=6 | n=90 | min_bias=0.149C | min_rmse=1.020C | max_bias=-1.127C | max_rmse=3.455C
KSFO | ecmwf_ifs025 | lead=7 | n=90 | min_bias=0.129C | min_rmse=1.059C | max_bias=-1.120C | max_rmse=3.610C
LEMD | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.101C | min_rmse=0.649C | max_bias=-0.073C | max_rmse=0.549C
LEMD | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.278C | min_rmse=0.895C | max_bias=-0.198C | max_rmse=0.683C
LEMD | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.506C | min_rmse=1.084C | max_bias=-0.387C | max_rmse=0.995C
LEMD | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.544C | min_rmse=1.277C | max_bias=-0.493C | max_rmse=1.244C
LEMD | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.641C | min_rmse=1.667C | max_bias=-0.613C | max_rmse=1.619C
LEMD | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.526C | min_rmse=1.945C | max_bias=-0.392C | max_rmse=2.140C
LEMD | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.592C | min_rmse=2.200C | max_bias=-0.357C | max_rmse=2.606C
LFPB | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.072C | min_rmse=0.615C | max_bias=0.286C | max_rmse=1.180C
LFPB | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.133C | min_rmse=0.928C | max_bias=0.279C | max_rmse=1.305C
LFPB | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.176C | min_rmse=1.085C | max_bias=0.279C | max_rmse=1.642C
LFPB | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.283C | min_rmse=1.195C | max_bias=0.164C | max_rmse=1.868C
LFPB | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.352C | min_rmse=1.664C | max_bias=-0.313C | max_rmse=2.358C
LFPB | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.747C | min_rmse=2.425C | max_bias=0.507C | max_rmse=2.762C
LFPB | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.676C | min_rmse=2.809C | max_bias=0.419C | max_rmse=3.370C
LIMC | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.048C | min_rmse=1.179C | max_bias=0.752C | max_rmse=1.294C
